"ForestTypeGroup","AgeGroup","carbon","carbon_se","total","total_se","rfCarbon","rfCarbonUpper","rfCarbonLower","ShortName","Age","Area","Prop","originalArea","AreaSE","ForestTypeGroupCode"
"Alder / maple",0,36.2420801109155,2.87344950602836,4219683.18806704,1022785.89885205,-5.33070600470378,-4.90806154033748,-5.75335046907008,"AlMap","0-10 years",251753.240687176,0.00680126572552591,250041,14.37,910
"Alder / maple",10,39.8945552584507,3.59311744373496,6658811.60439336,1383257.62029492,-5.86793430786437,-5.33943669750908,-6.39643191821966,"AlMap","11-20 years",324924.900589751,0.00680126572552591,322715,12.19,910
"Alder / maple",20,86.588161401264,4.96000247375344,29105080.7650337,4592030.71909263,-12.7359144537336,-12.0063670632619,-13.4654618442052,"AlMap","21-30 years",439699.513228854,0.00680126572552591,436709,10.3,910
"Alder / maple",30,103.105648789069,7.13786510102709,24752078.9177677,4363617.59238403,-15.1654071575553,-14.1155264598039,-16.2152878553067,"AlMap","31-40 years",390870.413546778,0.00680126572552591,388212,10.85,910
"Alder / maple",40,120.516018841031,9.93369150395883,23534698.2025317,4793691.94754245,-17.726230484916,-16.2651226018428,-19.1873383679892,"AlMap","41-50 years",331058.617629222,0.00680126572552591,328807,12.1,910
"Alder / maple",50,104.201154131358,9.23783724587154,19696546.8707725,3882589.20810652,-15.3265407593919,-13.967783361187,-16.6852981575969,"AlMap","51-60 years",355965.012639955,0.00680126572552591,353544,12.05,910
"Alder / maple",60,112.786874142933,10.8644798728646,24916364.0816352,4849031.85941495,-16.5893807807246,-14.9913668720577,-18.1873946893915,"AlMap","61-70 years",232633.200211216,0.00680126572552591,231051,13.91,910
"Alder / maple",70,175.335510352324,15.8525161637573,29092175.8007062,6394852.72572305,-25.7894153705441,-23.4577306867405,-28.1211000543477,"AlMap","71-80 years",202600.942848555,0.00680126572552591,201223,16.12,910
"Alder / maple",80,194.620206778436,19.4514981249316,18375629.9093325,5378239.93885297,-28.6259260433022,-25.7648811601795,-31.4869709264249,"AlMap","81-90 years",145178.396854614,0.00680126572552591,144191,18.48,910
"Alder / maple",90,107.94037258675,15.5727328390373,5762477.85681346,2007098.97245544,-15.8765277968924,-13.5859953495095,-18.1670602442754,"AlMap","91-100 years",42266.4654628919,0.00680126572552591,41979,31.55,910
