"ForestTypeGroup","AgeGroup","GamCarbon"
"Alder / maple",0,10.2558752358892
"Alder / maple",10,12.7345640949096
"Alder / maple",20,15.2132529539301
"Alder / maple",30,17.6919418129505
"Alder / maple",40,20.1706306719711
"Alder / maple",50,22.6493195309919
"Alder / maple",60,25.128008390013
"Alder / maple",70,27.6066972490344
"Alder / maple",80,30.0853861080562
"Alder / maple",90,32.5640749670787
"Alder / maple",100,35.042763826102
"Alder / maple",110,37.5214526851263
"Alder / maple",120,40.0001415441516
"Alder / maple",130,42.4788304031775
"Alder / maple",140,44.9575192622038
"Alder / maple",150,47.4362081212302
"Alder / maple",160,49.9148969802564
"Alder / maple",170,52.3935858392825
"Alder / maple",180,54.8722746983084
"Alder / maple",190,57.3509635573341
"Alder / maple",200,59.8296524163599
"Aspen / birch",0,13.0198945472113
"Aspen / birch",10,17.3266143009117
"Aspen / birch",20,21.6333340546112
"Aspen / birch",30,25.9400538083088
"Aspen / birch",40,30.2467735620039
"Aspen / birch",50,34.5534933156966
"Aspen / birch",60,38.8602130693879
"Aspen / birch",70,43.1669328230792
"Aspen / birch",80,47.4736525767718
"Aspen / birch",90,51.780372330467
"Aspen / birch",100,56.0870920841661
"Aspen / birch",110,60.3938118378703
"Aspen / birch",120,64.7005315915808
"Aspen / birch",130,69.0072513452977
"Aspen / birch",140,73.3139710990199
"Aspen / birch",150,77.6206908527457
"Aspen / birch",160,81.9274106064729
"Aspen / birch",170,86.2341303602004
"Aspen / birch",180,90.5408501139279
"Aspen / birch",190,94.8475698676554
"Aspen / birch",200,99.1542896213829
"California mixed conifer",0,-17.8143021365447
"California mixed conifer",10,-2.72333815616292
"California mixed conifer",20,11.0553108221557
"California mixed conifer",30,22.3151727609953
"California mixed conifer",40,30.5032654906515
"California mixed conifer",50,35.912475588515
"California mixed conifer",60,39.4238283532359
"California mixed conifer",70,42.0842418798865
"California mixed conifer",80,44.7807045399587
"California mixed conifer",90,48.1011076947068
"California mixed conifer",100,52.3091621072064
"California mixed conifer",110,57.3305178069065
"California mixed conifer",120,62.7403956312122
"California mixed conifer",130,67.8374331478604
"California mixed conifer",140,71.8694978309201
"California mixed conifer",150,74.3483161521813
"California mixed conifer",160,75.2715842299588
"California mixed conifer",170,75.0903042113763
"California mixed conifer",180,74.4258448595103
"California mixed conifer",190,73.729126574806
"California mixed conifer",200,73.1241642336875
"Douglas-fir",0,11.4346287818679
"Douglas-fir",10,18.3609507141054
"Douglas-fir",20,25.2562695144527
"Douglas-fir",30,32.0754292459466
"Douglas-fir",40,38.7601016721682
"Douglas-fir",50,45.2394061693769
"Douglas-fir",60,51.429319592218
"Douglas-fir",70,57.2374723425478
"Douglas-fir",80,62.5767507093801
"Douglas-fir",90,67.3842850857247
"Douglas-fir",100,71.6374654155258
"Douglas-fir",110,75.3596150436672
"Douglas-fir",120,78.6139737443692
"Douglas-fir",130,81.4907582569463
"Douglas-fir",140,84.0936308277326
"Douglas-fir",150,86.528482427536
"Douglas-fir",160,88.8929813295696
"Douglas-fir",170,91.2644922168048
"Douglas-fir",180,93.687819634312
"Douglas-fir",190,96.1692759169276
"Douglas-fir",200,98.6848883431477
"Elm / ash / cottonwood",0,13.0585695987925
"Elm / ash / cottonwood",10,17.1973279504607
"Elm / ash / cottonwood",20,21.0353852459701
"Elm / ash / cottonwood",30,24.337786999964
"Elm / ash / cottonwood",40,27.0692258691558
"Elm / ash / cottonwood",50,29.4378150545992
"Elm / ash / cottonwood",60,31.799403951032
"Elm / ash / cottonwood",70,34.4774245933159
"Elm / ash / cottonwood",80,37.6346243325129
"Elm / ash / cottonwood",90,41.2939130511708
"Elm / ash / cottonwood",100,45.4353143864525
"Elm / ash / cottonwood",110,49.9868745937826
"Elm / ash / cottonwood",120,54.652489074269
"Elm / ash / cottonwood",130,58.7801013011434
"Elm / ash / cottonwood",140,61.5577765505504
"Elm / ash / cottonwood",150,62.5630118582222
"Elm / ash / cottonwood",160,62.1169030894974
"Elm / ash / cottonwood",170,60.7885741422201
"Elm / ash / cottonwood",180,59.3001628201545
"Elm / ash / cottonwood",190,57.8117514980891
"Elm / ash / cottonwood",200,56.3233401760234
"Exotic hardwoods",0,6.98185539774647
"Exotic hardwoods",10,11.4507703796318
"Exotic hardwoods",20,15.8030636364158
"Exotic hardwoods",30,19.9173506324555
"Exotic hardwoods",40,23.8096096180638
"Exotic hardwoods",50,27.3520259295439
"Exotic hardwoods",60,30.2944680156867
"Exotic hardwoods",70,32.5069953697965
"Exotic hardwoods",80,33.7131210016801
"Exotic hardwoods",90,33.6968493317389
"Exotic hardwoods",100,32.6814225951573
"Exotic hardwoods",110,30.9998924808155
"Exotic hardwoods",120,28.9853106775936
"Exotic hardwoods",130,26.9152202595583
"Exotic hardwoods",140,24.845129841523
"Exotic hardwoods",150,22.7750394234877
"Exotic hardwoods",160,20.7049490054524
"Exotic hardwoods",170,18.6348585874171
"Exotic hardwoods",180,16.5647681693818
"Exotic hardwoods",190,14.4946777513466
"Exotic hardwoods",200,12.4245873333113
"Exotic softwoods",0,15.9850391026625
"Exotic softwoods",10,22.0311648514786
"Exotic softwoods",20,28.0772906002939
"Exotic softwoods",30,34.1234163491053
"Exotic softwoods",40,40.1695420979111
"Exotic softwoods",50,46.2156678467144
"Exotic softwoods",60,52.2617935955192
"Exotic softwoods",70,58.3079193443278
"Exotic softwoods",80,64.3540450931386
"Exotic softwoods",90,70.4001708419497
"Exotic softwoods",100,76.4462965907609
"Exotic softwoods",110,82.492422339572
"Exotic softwoods",120,88.5385480883832
"Exotic softwoods",130,94.5846738371943
"Exotic softwoods",140,100.630799586005
"Exotic softwoods",150,106.676925334817
"Exotic softwoods",160,112.723051083628
"Exotic softwoods",170,118.769176832439
"Exotic softwoods",180,124.81530258125
"Exotic softwoods",190,130.861428330061
"Exotic softwoods",200,136.907554078872
"Fir / spruce / mountain hemlock",0,3.01460968309515
"Fir / spruce / mountain hemlock",10,9.36894892502594
"Fir / spruce / mountain hemlock",20,16.0979229484753
"Fir / spruce / mountain hemlock",30,23.521300430703
"Fir / spruce / mountain hemlock",40,31.7179621839966
"Fir / spruce / mountain hemlock",50,40.4459389543446
"Fir / spruce / mountain hemlock",60,49.2204185785475
"Fir / spruce / mountain hemlock",70,57.4889015118612
"Fir / spruce / mountain hemlock",80,64.8184580129436
"Fir / spruce / mountain hemlock",90,71.0216676917497
"Fir / spruce / mountain hemlock",100,76.1848721433389
"Fir / spruce / mountain hemlock",110,80.6045025698286
"Fir / spruce / mountain hemlock",120,84.6674482925987
"Fir / spruce / mountain hemlock",130,88.7230438000429
"Fir / spruce / mountain hemlock",140,92.9893574379144
"Fir / spruce / mountain hemlock",150,97.5202452028629
"Fir / spruce / mountain hemlock",160,102.236898841783
"Fir / spruce / mountain hemlock",170,107.003681055859
"Fir / spruce / mountain hemlock",180,111.710684183613
"Fir / spruce / mountain hemlock",190,116.323365971673
"Fir / spruce / mountain hemlock",200,120.876567705603
"Hemlock / Sitka spruce",0,2.65318016082517
"Hemlock / Sitka spruce",10,19.0057224865983
"Hemlock / Sitka spruce",20,32.662286227623
"Hemlock / Sitka spruce",30,41.8473818760056
"Hemlock / Sitka spruce",40,46.9471227251964
"Hemlock / Sitka spruce",50,50.2248846873827
"Hemlock / Sitka spruce",60,54.2146581467931
"Hemlock / Sitka spruce",70,60.1097056695536
"Hemlock / Sitka spruce",80,67.2482737021085
"Hemlock / Sitka spruce",90,73.8906140741247
"Hemlock / Sitka spruce",100,78.5710224153143
"Hemlock / Sitka spruce",110,81.0321979801446
"Hemlock / Sitka spruce",120,82.2123225634999
"Hemlock / Sitka spruce",130,83.506090494544
"Hemlock / Sitka spruce",140,85.9613626255284
"Hemlock / Sitka spruce",150,89.9387243904289
"Hemlock / Sitka spruce",160,95.2782309665963
"Hemlock / Sitka spruce",170,101.643435198581
"Hemlock / Sitka spruce",180,108.721037945453
"Hemlock / Sitka spruce",190,116.232595750252
"Hemlock / Sitka spruce",200,123.926183349292
"Loblolly / shortleaf pine",0,15.6881584659971
"Loblolly / shortleaf pine",10,27.0846015553715
"Loblolly / shortleaf pine",20,34.7333898283333
"Loblolly / shortleaf pine",30,37.8083547230918
"Loblolly / shortleaf pine",40,38.7354310871896
"Loblolly / shortleaf pine",50,39.85123437147
"Loblolly / shortleaf pine",60,41.0946841105218
"Loblolly / shortleaf pine",70,41.4899168367469
"Loblolly / shortleaf pine",80,41.5327450131271
"Loblolly / shortleaf pine",90,42.7385844316429
"Loblolly / shortleaf pine",100,45.2345583252952
"Loblolly / shortleaf pine",110,47.3001469603881
"Loblolly / shortleaf pine",120,47.7755719688732
"Loblolly / shortleaf pine",130,47.8129518399556
"Loblolly / shortleaf pine",140,49.1794487136516
"Loblolly / shortleaf pine",150,51.7695744451452
"Loblolly / shortleaf pine",160,54.9715146055379
"Loblolly / shortleaf pine",170,58.2754238374128
"Loblolly / shortleaf pine",180,61.5793330692877
"Loblolly / shortleaf pine",190,64.8832423011637
"Loblolly / shortleaf pine",200,68.187151533039
"Lodgepole pine",0,7.51504108180472
"Lodgepole pine",10,20.1828966923463
"Lodgepole pine",20,32.4101198269278
"Lodgepole pine",30,43.6876668974281
"Lodgepole pine",40,53.5819550255611
"Lodgepole pine",50,61.8686968603543
"Lodgepole pine",60,68.5932960769286
"Lodgepole pine",70,74.0661984710895
