"ForestTypeGroup","AgeGroup","GamCarbon"
"Alder / maple",0,37.0826747547952
"Alder / maple",10,57.4945644531444
"Alder / maple",20,77.1008983947576
"Alder / maple",30,95.163348865481
"Alder / maple",40,111.160858829782
"Alder / maple",50,124.665169521616
"Alder / maple",60,135.084397588439
"Alder / maple",70,141.58996865254
"Alder / maple",80,143.417919053496
"Alder / maple",90,140.477165233675
"Alder / maple",100,133.930630812786
"Alder / maple",110,126.307981995974
"Alder / maple",120,120.872369743205
"Alder / maple",130,120.361290010132
"Alder / maple",140,125.651976873939
"Alder / maple",150,135.091653747931
"Alder / maple",160,145.004860596202
"Alder / maple",170,151.300395621871
"Alder / maple",180,151.445147435746
"Alder / maple",190,145.729849522233
"Alder / maple",200,136.848831114408
"Aspen / birch",0,23.2499741817178
"Aspen / birch",10,29.4408716362973
"Aspen / birch",20,36.0698851146062
"Aspen / birch",30,43.2219931782801
"Aspen / birch",40,50.5219812814602
"Aspen / birch",50,57.5193212397885
"Aspen / birch",60,64.082725845413
"Aspen / birch",70,70.3281736138237
"Aspen / birch",80,76.2152718093517
"Aspen / birch",90,81.3214766134789
"Aspen / birch",100,85.022209982576
"Aspen / birch",110,86.7911894425562
"Aspen / birch",120,86.2678334854871
"Aspen / birch",130,83.1610348047259
"Aspen / birch",140,77.3450838269278
"Aspen / birch",150,69.2086269982231
"Aspen / birch",160,59.7878877763565
"Aspen / birch",170,50.1482576224559
"Aspen / birch",180,40.5086274685554
"Aspen / birch",190,30.8689973146548
"Aspen / birch",200,21.229367160754
"California mixed conifer",0,48.6763323405509
"California mixed conifer",10,56.235879697152
"California mixed conifer",20,63.7099872891001
"California mixed conifer",30,71.9164305897641
"California mixed conifer",40,82.5832117777034
"California mixed conifer",50,96.7831138381166
"California mixed conifer",60,113.185030880119
"California mixed conifer",70,128.319767397711
"California mixed conifer",80,139.341928585837
"California mixed conifer",90,147.086838576372
"California mixed conifer",100,156.276435478015
"California mixed conifer",110,171.820580649411
"California mixed conifer",120,193.75827647246
"California mixed conifer",130,215.271491977119
"California mixed conifer",140,226.321484348396
"California mixed conifer",150,220.937911382191
"California mixed conifer",160,202.69030052076
"California mixed conifer",170,183.578526997635
"California mixed conifer",180,176.397108807937
"California mixed conifer",190,186.004968784934
"California mixed conifer",200,206.653817481323
"Douglas-fir",0,45.3536693018872
"Douglas-fir",10,73.3482397623939
"Douglas-fir",20,99.4607168859814
"Douglas-fir",30,121.473358722096
"Douglas-fir",40,137.503918727407
"Douglas-fir",50,146.65798154252
"Douglas-fir",60,149.325769792786
"Douglas-fir",70,147.150784795183
"Douglas-fir",80,142.695282910727
"Douglas-fir",90,138.819246944155
"Douglas-fir",100,137.868956383318
"Douglas-fir",110,140.935582151463
"Douglas-fir",120,147.55364793858
"Douglas-fir",130,156.095224123173
"Douglas-fir",140,164.755862046507
"Douglas-fir",150,172.623929856829
"Douglas-fir",160,180.184410216651
"Douglas-fir",170,188.903520768502
"Douglas-fir",180,200.134466214911
"Douglas-fir",190,214.089419121153
"Douglas-fir",200,229.675145567155
"Elm / ash / cottonwood",0,20.6645393566231
"Elm / ash / cottonwood",10,28.5299173029505
"Elm / ash / cottonwood",20,36.3381273204604
"Elm / ash / cottonwood",30,43.9865753413783
"Elm / ash / cottonwood",40,51.3061781416357
"Elm / ash / cottonwood",50,58.0480867246345
"Elm / ash / cottonwood",60,63.8986426677349
"Elm / ash / cottonwood",70,68.5453120687133
"Elm / ash / cottonwood",80,71.7786221457456
"Elm / ash / cottonwood",90,73.5764862622451
"Elm / ash / cottonwood",100,74.1158968919682
"Elm / ash / cottonwood",110,73.700658468966
"Elm / ash / cottonwood",120,72.6497233917835
"Elm / ash / cottonwood",130,71.2130071476982
"Elm / ash / cottonwood",140,69.5527089693419
"Elm / ash / cottonwood",150,67.7746526717527
"Elm / ash / cottonwood",160,65.9622202551972
"Elm / ash / cottonwood",170,64.1792008063285
"Elm / ash / cottonwood",180,62.4490197548975
"Elm / ash / cottonwood",190,60.7500071876758
"Elm / ash / cottonwood",200,59.0561893678221
"Exotic hardwoods",0,18.029674962841
"Exotic hardwoods",10,24.7442442640896
"Exotic hardwoods",20,31.4149643174829
"Exotic hardwoods",30,37.9207886814838
"Exotic hardwoods",40,44.1747815544438
"Exotic hardwoods",50,50.0809464082228
"Exotic hardwoods",60,55.3903834506741
"Exotic hardwoods",70,59.845207837788
"Exotic hardwoods",80,63.2435020545105
"Exotic hardwoods",90,65.2575810864447
"Exotic hardwoods",100,65.777052079149
"Exotic hardwoods",110,65.4559399887171
"Exotic hardwoods",120,64.9947307177625
"Exotic hardwoods",130,64.5335214468079
"Exotic hardwoods",140,64.0723121758532
"Exotic hardwoods",150,63.6111029048987
"Exotic hardwoods",160,63.1498936339441
"Exotic hardwoods",170,62.6886843629895
"Exotic hardwoods",180,62.2274750920349
"Exotic hardwoods",190,61.7662658210803
"Exotic hardwoods",200,61.3050565501257
"Exotic softwoods",0,19.201256456324
"Exotic softwoods",10,29.3626855238715
"Exotic softwoods",20,39.5241145914181
"Exotic softwoods",30,49.6855436589634
"Exotic softwoods",40,59.8469727265073
"Exotic softwoods",50,70.0084017940486
"Exotic softwoods",60,80.1698308615844
"Exotic softwoods",70,90.3312599291084
"Exotic softwoods",80,100.492688996619
"Exotic softwoods",90,110.654118064122
"Exotic softwoods",100,120.815547131628
"Exotic softwoods",110,130.976976199133
"Exotic softwoods",120,141.138405266639
"Exotic softwoods",130,151.299834334145
"Exotic softwoods",140,161.461263401651
"Exotic softwoods",150,171.622692469157
"Exotic softwoods",160,181.784121536663
"Exotic softwoods",170,191.945550604168
"Exotic softwoods",180,202.106979671674
"Exotic softwoods",190,212.26840873918
"Exotic softwoods",200,222.429837806686
"Fir / spruce / mountain hemlock",0,48.8130968988498
"Fir / spruce / mountain hemlock",10,53.1010276072185
"Fir / spruce / mountain hemlock",20,58.2321615368439
"Fir / spruce / mountain hemlock",30,64.9128993533521
"Fir / spruce / mountain hemlock",40,73.3131719165463
"Fir / spruce / mountain hemlock",50,82.9098262513581
"Fir / spruce / mountain hemlock",60,92.6754202625074
"Fir / spruce / mountain hemlock",70,101.481787347671
"Fir / spruce / mountain hemlock",80,108.523182087605
"Fir / spruce / mountain hemlock",90,113.57114335841
"Fir / spruce / mountain hemlock",100,116.96639495548
"Fir / spruce / mountain hemlock",110,119.394026499026
"Fir / spruce / mountain hemlock",120,121.598761530922
"Fir / spruce / mountain hemlock",130,124.20711514977
"Fir / spruce / mountain hemlock",140,127.723686259772
"Fir / spruce / mountain hemlock",150,132.627615647506
"Fir / spruce / mountain hemlock",160,139.415450316541
"Fir / spruce / mountain hemlock",170,148.482612392904
"Fir / spruce / mountain hemlock",180,159.881740642363
"Fir / spruce / mountain hemlock",190,173.140874579116
"Fir / spruce / mountain hemlock",200,187.364185052238
"Hemlock / Sitka spruce",0,37.0174851660987
"Hemlock / Sitka spruce",10,74.7435806259318
"Hemlock / Sitka spruce",20,112.218648115259
"Hemlock / Sitka spruce",30,147.950442970948
"Hemlock / Sitka spruce",40,179.068947962084
"Hemlock / Sitka spruce",50,202.53887455073
"Hemlock / Sitka spruce",60,216.913008762312
"Hemlock / Sitka spruce",70,223.321920895154
"Hemlock / Sitka spruce",80,224.921183964817
"Hemlock / Sitka spruce",90,225.181639257872
"Hemlock / Sitka spruce",100,226.267911125889
"Hemlock / Sitka spruce",110,228.613095693942
"Hemlock / Sitka spruce",120,231.802063863932
"Hemlock / Sitka spruce",130,235.860175405444
"Hemlock / Sitka spruce",140,241.82919651666
"Hemlock / Sitka spruce",150,251.219398215114
"Hemlock / Sitka spruce",160,264.907608449449
"Hemlock / Sitka spruce",170,282.468801626454
"Hemlock / Sitka spruce",180,302.476593562543
"Hemlock / Sitka spruce",190,323.441332497957
"Hemlock / Sitka spruce",200,344.554313066226
"Loblolly / shortleaf pine",0,43.9020850457199
